IDPERSO;IDTITRE
170;64
166;62
16;17
43;47
1;81
150;23
145;38
45;61
172;5
148;19
126;33
140;7
183;44
197;48
188;57
62;80
22;4
159;53
156;56
58;38
41;76
35;82
76;67
39;5
141;49
193;50
114;18
108;60
100;33
122;3
94;28
127;67
92;68
19;60
18;54
194;59
110;30
180;80
62;27
131;24
164;18
45;36
158;47
56;9
100;73
12;40
108;56
141;20
109;62
120;31
183;40
82;74
61;56
73;63
175;49
179;14
139;45
46;9
54;56
129;68
150;49
55;38
120;7
100;27
136;55
138;43
161;14
51;55
120;27
136;24
44;15
90;47
132;10
10;67
84;6
117;58
168;65
38;32
199;21
64;65
39;66
161;31
74;50
56;52
